board_tag,sample,die,channel,pin_a,pin_k,diode_V,lit,iso_ak_fwd,iso_ak_rev,verdict,note
2,2,D7,B,25,27,,,,,,
2,2,D8,R,29,32,,,,,,
2,2,D8,G,29,30,,,,,,
2,2,D8,B,29,31,,,,,,
2,2,DCL6-L01,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL6-L02,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL6-L03,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL6-L04,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL6-L05,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL6-L06,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L01,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L02,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L03,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L04,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L05,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L06,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L07,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L08,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L09,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L10,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L11,R,edge,edge,,,,,,probe the die's own solder edges
2,2,DCL12-L12,R,edge,edge,,,,,,probe the die's own solder edges
3/4,3,D1,R,1,4,,,,,,
3/4,3,D1,G,1,2,,,,,,
3/4,3,D1,B,1,3,,,,,,
3/4,3,D2,R,5,8,,,,,,
3/4,3,D2,G,5,6,,,,,,
3/4,3,D2,B,5,7,,,,,,
3/4,3,D3,R,9,12,,,,,,
3/4,3,D3,G,9,10,,,,,,
3/4,3,D3,B,9,11,,,,,,
3/4,3,D4,R,13,16,,,,,,
3/4,3,D4,G,13,14,,,,,,
3/4,3,D4,B,13,15,,,,,,
3/4,4,D5,R,17,20,,,,,,
3/4,4,D5,G,17,18,,,,,,
3/4,4,D5,B,17,19,,,,,,
3/4,4,D6,R,21,24,,,,,,
3/4,4,D6,G,21,22,,,,,,
3/4,4,D6,B,21,23,,,,,,
3/4,4,D7,R,25,28,,,,,,
3/4,4,D7,G,25,26,,,,,,
3/4,4,D7,B,25,27,,,,,,
3/4,4,D8,R,29,32,,,,,,
3/4,4,D8,G,29,30,,,,,,
3/4,4,D8,B,29,31,,,,,,
5/6,5,D1,R,1,4,,,,,,
5/6,5,D1,G,1,2,,,,,,
5/6,5,D1,B,1,3,,,,,,
5/6,5,D2,R,5,8,,,,,,
5/6,5,D2,G,5,6,,,,,,
5/6,5,D2,B,5,7,,,,,,
5/6,5,D3,R,9,12,,,,,,
5/6,5,D3,G,9,10,,,,,,
5/6,5,D3,B,9,11,,,,,,
5/6,5,D4,R,13,16,,,,,,
5/6,5,D4,G,13,14,,,,,,
5/6,5,D4,B,13,15,,,,,,
5/6,6,D5,R,17,20,,,,,,
5/6,6,D5,G,17,18,,,,,,
5/6,6,D5,B,17,19,,,,,,
5/6,6,D6,R,21,24,,,,,no_die,"die absent, confirmed physically. Do not probe."
5/6,6,D6,G,21,22,,,,,no_die,"die absent, confirmed physically. Do not probe."
5/6,6,D6,B,21,23,,,,,no_die,"die absent, confirmed physically. Do not probe."
5/6,6,D7,R,25,28,,,,,,
5/6,6,D7,G,25,26,,,,,,
5/6,6,D7,B,25,27,,,,,,
5/6,6,D8,R,29,32,,,,,,
5/6,6,D8,G,29,30,,,,,,
5/6,6,D8,B,29,31,,,,,,
7/8,7,D1,R,1,4,,,,,,
7/8,7,D1,G,1,2,,,,,,
7/8,7,D1,B,1,3,,,,,,
7/8,7,D2,R,5,8,,,,,,
7/8,7,D2,G,5,6,,,,,,
7/8,7,D2,B,5,7,,,,,,
7/8,7,D3,R,9,12,,,,,,
7/8,7,D3,G,9,10,,,,,,
7/8,7,D3,B,9,11,,,,,,
7/8,7,D4,R,13,16,,,,,,
7/8,7,D4,G,13,14,,,,,,
7/8,7,D4,B,13,15,,,,,,
7/8,8,D5,R,17,20,,,,,,
7/8,8,D5,G,17,18,,,,,,
7/8,8,D5,B,17,19,,,,,,
7/8,8,D6,R,21,24,,,,,,
7/8,8,D6,G,21,22,,,,,,
7/8,8,D6,B,21,23,,,,,,
7/8,8,D7,R,25,28,,,,,,
7/8,8,D7,G,25,26,,,,,,
7/8,8,D7,B,25,27,,,,,,
7/8,8,D8,R,29,32,,,,,,
7/8,8,D8,G,29,30,,,,,,
7/8,8,D8,B,29,31,,,,,,
