board_tag,sample,die,present,alignment,solder,iso_kg_kb,iso_kb_kr,iso_kg_kr,photo,note
2,2,D7,n,n/a,n/a,,,,2026-08-03_board2_overview.jpg,DIE ABSENT - four bare gold bond pads clearly visible in overview photo
2,2,D8,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L01,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L02,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L03,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L04,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L05,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL6-L06,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L01,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L02,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L03,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L04,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L05,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L06,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L07,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L08,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L09,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L10,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L11,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,DCL12-L12,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,3,D1,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,3,D2,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,3,D3,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,3,D4,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,4,D5,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,4,D6,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,4,D7,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
3/4,4,D8,y,,,,,,2026-08-03_board3-4_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
5/6,5,D1,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,5,D2,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,5,D3,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,5,D4,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,6,D5,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,6,D6,n,n/a,n/a,,,,2026-08-03_board5-6_overview.jpg,DIE ABSENT - reported by operator from the physical board. NOT resolvable in the overview photo; my photo pass wrongly called this one present.
5/6,6,D7,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
5/6,6,D8,y,,,,,,2026-08-03_board5-6_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,7,D1,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,7,D2,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,7,D3,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,7,D4,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,8,D5,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,8,D6,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,8,D7,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
7/8,8,D8,y,,,,,,2026-08-03_board7-8_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution | white residue/flux visible around site"
